HAIR_FR=0,-2.03,-6.95,-13.5,-20.05,-24.97,-27,-16.24,2.06,15.73,22,25.35,27.56,28.95,29.68,29.95,30,26.06,17.57,6.97,-4.03,-14.08,-22.4,-27.93,-30,-29.27,-27.2,-24.01,-19.9,-15.14,-9.88,-4.48,1.04,6.4,11.53,16.12,20.18,23.5,25.94,27.48,28,22.99,14.98,7.5,2.1,0
HAIR_B=0,2.18,5.75,8.2,9,4.35,-3.09,-10.03,-15.05,-17,-13.47,-4.9,6.5,17.9,26.47,30,25.59,14.86,1.76,-11.02,-21.28,-27.79,-30,-29.83,-29.3,-28.32,-26.85,-24.85,-22.23,-19,-15,-9.98,-4.95,-0.07,4.49,8.52,11.99,14.66,16.39,17,15.72,12.62,8.5,4.38,1.28,0
HAIR_FL_S_X=0,3.39,8.95,12.76,14,11.44,5.92,-0.97,-8.12,-14.65,-20.06,-23.66,-25,-10.55,15.55,30,25.49,14.55,0,-14.55,-25.49,-30,-28.53,-25.69,-22.18,-18.26,-14,-8.55,-3.76,0.51,4.28,7.48,10.23,12.49,14.31,15.71,16.76,17.47,17.87,18,16.65,13.36,9,4.64,1.35,0
NECK_RO=0,0.97,2.56,3.65,4,0.13,-6.22,-10.58,-12,-10.1,-5.99,-0.87,4.45,9.3,13.33,16,17,11.28,2.12,-6.42,-12.59,-15,-14.62,-13.63,-12.18,-10.39,-8.4,-6.31,-4.21,-2.16,-0.25,1.47,2.9,4.02,4.75,5,4.64,3.86,2.89,1.88,0.96,0.2,-0.31,-0.5,-0.26,0
UPPER_ROTATE=0,1.21,3.19,4.56,5,3.21,0.35,-2.32,-4.25,-5,-3.5,0.15,5,9.85,13.5,15,11.57,6.03,0.76,-3.18,-5,-5.45,-5.74,-5.91,-5.98,-6.001,-6,-5.55,-4.35,-2.62,-0.56,1.56,3.62,5.35,6.55,7,6.8,6.28,5.51,4.61,3.63,2.68,1.8,1.04,0.44,0
BODY_SKIT_X=5,-2.26,-14.17,-22.34,-25,-23.06,-19.89,-17.71,-17,-19.32,-23.04,-26.52,-29.02,-30,-30,-30,-30,-30,-30,-30,-29.18,-27.1,-24.35,-21.36,-18.5,-16,-14,-11.81,-9.75,-7.81,-5.99,-4.34,-2.79,-1.39,-0.12,1,2.06,2.9,3.57,4.06,4.43,4.68,4.84,4.94,4.99,5
BODY_SKIT_Y=-1,2.39,7.95,11.76,13,4.04,-10.64,-20.72,-24,-14.35,1.1,15.53,25.94,30,29.01,26.25,21.74,15.72,8.53,0,-9.4,-16.64,-21.81,-25.36,-27.54,-28.67,-29,-27.66,-24.06,-18.86,-12.69,-6.31,-0.14,5.06,8.66,10,9.8,9.24,8.37,7.28,6.01,4.64,3.22,1.79,0.39,-1
APRON_X=-3.12,-2.99,-2.41,-1.37,0,3.5,6.63,8.45,9,2.03,-9.13,-19.55,-27.07,-30,-30,-30,-30,-30,-30,-30,-29.79,-29.31,-28.52,-27.41,-26,-23.25,-19.28,-14.5,-9.32,-4.25,0.49,4.39,7.03,8,7.81,7.29,6.49,5.47,4.32,3.05,1.75,0.5,-0.7,-1.74,-2.55,-3.12
APRON_Y=4.18,8.74,16.21,21.33,23,11.14,-8.31,-21.65,-26,-25.8,-24.84,-22.87,-19.69,-15,-0.17,16.36,26.74,30,25.59,14.86,1.76,-11.02,-21.28,-27.79,-30,-28.28,-23.67,-16.99,-9.09,-0.91,6.99,13.67,18.28,20,19.68,18.84,17.53,15.88,14.06,12.09,10.12,8.29,6.65,5.34,4.5,4.18
APRON_SIDE_X=0,-0.07,-0.43,-1.1,-2,-3.56,-5.12,-6.61,-7.85,-8.68,-9,-7.94,-5.91,-3.47,-0.8,2,5.7,7.47,8.42,8.87,9,8.65,7.76,6.56,5.15,3.69,2.25,0.89,-0.26,-1.18,-1.78,-2,-1.9,-1.63,-1.24,-0.79,-0.32,0.11,0.48,0.76,0.94,1,0.76,0.36,0.09,0
APPRON_SIDE_Y=0,-1.92,-5.35,-8.23,-10,-11.56,-12.64,-13.36,-13.77,-13.95,-14,-6.13,6.45,18.21,26.69,30,22.13,9.55,-2.21,-10.69,-14,-12.97,-10.39,-6.9,-2.81,1.44,5.63,9.59,12.93,15.62,17.36,18,17,14.39,10.61,6.29,1.8,-2.38,-5.95,-8.68,-10.39,-11,-9.15,-5.65,-2.41,0
ARM_R_UPPER=3,9.54,20.25,27.6,30,25.49,14.55,0,-14.55,-25.49,-30,-30,-30,-30,-30,-30,-22.85,-11.41,-0.72,6.99,10,9.83,9.37,8.67,7.76,6.67,5.42,3.99,2.46,0.76,-1.04,-3,-5.48,-7.23,-8.54,-9.52,-10.2,-10.66,-10.92,-11,-10.08,-7.8,-4.68,-1.41,1.32,3
ARM_R_FOREARM=0,2.9,7.67,10.94,12,9.44,3.24,-5,-13.24,-19.44,-22,-20.57,-18.28,-16.14,-14.6,-14,-14.18,-14.46,-14.73,-14.92,-15,-14.16,-12.07,-9.23,-5.91,-2.46,0.95,4.17,6.88,9.07,10.48,11,9.95,7.68,4.86,1.92,-0.75,-2.97,-4.45,-5,-4.68,-3.88,-2.79,-1.63,-0.64,0
ARM_L_UPPER=0,-1.03,-3.74,-7.65,-12.12,-16.75,-21.08,-24.77,-27.6,-29.37,-30,-29.45,-27.79,-24.96,-20.79,-15,-3.69,4.65,10.75,14.61,16,15.88,15.48,14.83,13.92,12.78,11.46,10,7.76,5.82,4.15,2.68,1.44,0.4,-0.47,-1.13,-1.61,-1.9,-2,-1.85,-1.5,-1.06,-0.63,-0.29,-0.07,0
ARM_L_FOREARM=0,0.09,-0.25,-1.31,-3,-6.61,-10.23,-13.71,-17.06,-20.12,-22.87,-25.3,-27.24,-28.74,-29.67,-30,-19.27,-2.11,13.92,25.49,30,30,30,30,30,30,30,30,30,30,30,30,24.86,16.62,8.9,3.29,1.01,0.85,0.69,0.55,0.42,0.3,0.2,0.12,0.05,0
ARM_L_HAND=0,2.25,7.73,15,22.27,27.75,30,29.2,26.84,23.14,18.25,12.45,5.96,-1,-9.61,-16.66,-22.41,-26.6,-29.12,-30,-21.95,-9.08,2.94,11.62,15,14.51,13.13,11.11,8.62,5.85,2.94,0,-3.39,-5.93,-7.83,-9.09,-9.78,-10,-9.38,-8.05,-6.36,-4.59,-2.94,-1.53,-0.52,0
KNIFE_RIBBON=0,4.84,12.78,18.23,20,19.96,19.76,19.28,18.4,17.03,15,9.76,3.61,-2.75,-9.01,-15,-21.75,-26.87,-29,-25.54,-17.15,-6,5.15,13.54,17,15.09,10.44,4.76,-0.77,-5.22,-8.04,-9,-8.17,-5.96,-2.76,1.04,4.96,8.76,11.96,14.17,15,12.93,9.39,5.72,2.46,0
LEG_R=0,-3.63,-9.58,-13.67,-15,-14.02,-11.89,-9.24,-6.49,-3.98,-1.9,-0.52,0,-0.6,-2.06,-4,-5.94,-7.4,-8,-7.77,-7.17,-6.24,-5.09,-3.76,-2.3,-0.76,0.79,2.37,3.86,5.27,6.57,7.72,8.66,9.38,9.84,10,9.74,9.04,8,6.76,5.42,4.08,2.81,1.69,0.75,0
LEG_L=0,-2.66,-7.03,-10.02,-11,-10.28,-8.72,-6.78,-4.76,-2.92,-1.39,-0.38,0,-1.8,-6.18,-12,-17.82,-22.2,-24,-23.57,-22.43,-20.68,-18.5,-15.99,-13.24,-10.32,-7.4,-4.42,-1.61,1.07,3.52,5.69,7.47,8.83,9.7,10,6,4.66,3.5,2.53,1.72,1.09,0.6,0.26,0.06,0
WAVE=0,3.74,7.48,11.22,14.96,18.7,22.43,26.17,29.91,0,1.25,2.5,3.75,5,6.25,7.5,8.75,10,10.63,11.25,11.88,12.5,13.13,13.75,14.38,15,15.56,16.11,16.67,17.22,17.78,18.33,18.89,19.44,20,20.99,21.98,22.97,23.97,24.96,25.95,26.94,27.93,28.92,29.91,0